
2025/03/05 (18:47:33) | ===> btop++ v.1.4.0
2025/03/05 (18:47:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (20:29:41) | ===> btop++ v.1.4.0
2025/03/05 (20:29:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (21:34:34) | ===> btop++ v.1.4.0
2025/03/05 (21:34:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (23:51:56) | ===> btop++ v.1.4.0
2025/03/05 (23:51:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (23:52:05) | ===> btop++ v.1.4.0
2025/03/05 (23:52:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (00:20:06) | ===> btop++ v.1.4.0
2025/03/06 (00:20:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (10:32:06) | ===> btop++ v.1.4.0
2025/03/06 (10:32:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (12:37:43) | ===> btop++ v.1.4.0
2025/03/06 (12:37:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (13:15:55) | ===> btop++ v.1.4.0
2025/03/06 (13:15:55) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/06 (13:17:09) | WARNING: Failed to join _runner thread on exit!

2025/03/06 (13:17:13) | ===> btop++ v.1.4.0
2025/03/06 (13:17:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (22:27:09) | ===> btop++ v.1.4.0
2025/03/06 (22:27:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (14:04:51) | ===> btop++ v.1.4.0
2025/03/07 (14:04:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (14:36:28) | ===> btop++ v.1.4.0
2025/03/07 (14:36:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (15:53:09) | ===> btop++ v.1.4.0
2025/03/07 (15:53:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (19:30:40) | ===> btop++ v.1.4.0
2025/03/07 (19:30:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (19:31:34) | ===> btop++ v.1.4.0
2025/03/07 (19:31:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (22:28:28) | ===> btop++ v.1.4.0
2025/03/07 (22:28:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (22:57:32) | ===> btop++ v.1.4.0
2025/03/08 (22:57:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (22:39:54) | ===> btop++ v.1.4.0
2025/03/10 (22:39:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (10:53:42) | ===> btop++ v.1.4.0
2025/03/11 (10:53:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (17:13:52) | ===> btop++ v.1.4.0
2025/03/12 (17:13:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (03:58:18) | ===> btop++ v.1.4.0
2025/03/14 (03:58:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (16:45:07) | ===> btop++ v.1.4.0
2025/03/15 (16:45:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/16 (13:48:26) | ===> btop++ v.1.4.0
2025/03/16 (13:48:26) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/16 (13:50:37) | WARNING: Failed to join _runner thread on exit!

2025/03/16 (21:12:51) | ===> btop++ v.1.4.0
2025/03/16 (21:12:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/20 (00:57:53) | ===> btop++ v.1.4.0
2025/03/20 (00:57:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (01:13:02) | ===> btop++ v.1.4.0
2025/03/22 (01:13:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (01:17:41) | ===> btop++ v.1.4.0
2025/03/22 (01:17:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (03:09:16) | ===> btop++ v.1.4.0
2025/03/22 (03:09:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (04:10:53) | ===> btop++ v.1.4.0
2025/03/22 (04:10:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (13:48:47) | ===> btop++ v.1.4.0
2025/03/24 (13:48:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (13:48:48) | ===> btop++ v.1.4.0
2025/03/24 (13:48:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (20:11:19) | ===> btop++ v.1.4.0
2025/03/25 (20:11:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (20:11:39) | ===> btop++ v.1.4.0
2025/03/25 (20:11:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (02:29:29) | ===> btop++ v.1.4.0
2025/03/26 (02:29:29) | WARNING: Intel GPU: Failed to initialize PMU

